"id","Response","Theme"
"5178","Imagine an AI is being used to determine court verdicts on cases of various nature. I would prefer humans making the decisions since I believe there are situations where AI would not be able to comprehend e.g free will and paradox of choices in a human nature","Legal & Justice System"
"5179","Ai can't give information 100% valid must be control by human and can't develop it self must be developed by human","General Mistrust / Inaccuracy"
"5181","In health..AI may not be more good than humans in making health decisions","Medical & Healthcare"
"5182","If the AI is the court judge that will make me an easy for me to let it make a final decision ","Legal & Justice System"
"5183","AI making critical decisions about a person's health, reducing them to mere data without consideration of their emotional and psychological needs.","Medical & Healthcare"
"5184","When artificial intelligence chooses my treatment plan","Medical & Healthcare"
"5186","That the AI answers things for me without consulting or asking for anything first. I wouldn't like him to answer something without me having asked for it.","Loss of Human Agency & Control"
"5187","anything where I can overwrite the decision, I need to have the final say","Loss of Human Agency & Control"
"5188","AI can't make the decision that involved feelings. As such things i would not use AI to help me make a decision ","Personal & Emotional Life"
"5189","AI being used to make moral decisions especially during times of war and conflict.","Life-or-Death & Moral Dilemmas"
"5190","In court cases, an AI may be biased due to the data it has been trained on and discriminate against people based on their race, neurodivergence, etc.","Legal & Justice System"
"5191","AI making any decision related to my mental health","Medical & Healthcare"
"5192","I would not trust AI with decisions where the emotional background is key. I consider AI to be advisory at best, and not a tool that can make autonomous decisions. I need to be able to override it at any time.","Loss of Human Agency & Control"
"5193","AI making a decision instead of a jury","Legal & Justice System"
"5194","AI making diagnoses and modicum advice for people with mental illnesses ","Medical & Healthcare"
"5195","When AI sends messages without my intervention to the people I communicate with.","Loss of Human Agency & Control"
"5196","I wouldn't like to delegate tasks to an AI which require my personal touch like writing an eulogy, a birthday card, get well card or a letter to a loved one. I wouldn't think that an AI could recreate my personal style and even if it could, It wouldn't feel honest.","Creative & Artistic Pursuits"
"5197","I would feel uncomfortable with an AI making decisions in a legal trial, especially in determining someone's guilt or innocence. The complexity of human behavior, the need for empathy, and the nuances of morality are difficult for AI to fully grasp. The lack of transparency in how AI reaches its conclusions and the potential for biased data influencing outcomes make it uneasy to trust AI with such profound decisions that deeply impact lives and society.","Legal & Justice System"
"5198","In this scenario, there is a great deal of unease with AI making important decisions due to a combination of moral conundrums, algorithmic bias, accountability concerns, and the loss of human agency. While AI can improve safety and efficiency in many areas, human judgment is still indispensable in some sectors due to the complexity of human life and the subtleties of moral decision-making.","Life-or-Death & Moral Dilemmas"
"5199","in critical decisions that concern human life...because AI can also make mistakes and when these mistakes affect human life...it is serious","Life-or-Death & Moral Dilemmas"
"5200","A situation where AI has to decide on a case involving two people whose consequences may be fatal for both parties,since Ai have no feelings they can decide on something without heartfelt consideration.","Life-or-Death & Moral Dilemmas"
"5201","any decision that involves aspects related to morality and also to human emotions. It is difficult for a data set to allow AI to adapt to these contexts.","Personal & Emotional Life"
"5202","how AI can react and how other AI have more knowledge than human","General Mistrust / Inaccuracy"
"5203","In the criminal justice system, specifically in judicial decisions about a person's liberty, such as sentences in criminal cases or parole decisions.","Legal & Justice System"
"5204","In a scenario where an AI is tasked with making decisions in a medical context, I would feel uncomfortable it were to determine treatment plans for patients without human oversight. For example, if an AI analyzes patient data and decides to prioritize certain treatments based solely on statistical outcomes, it might overlook important nuances such as a patient's personal circumstances, emotional state, or unique medical history that a human doctor would consider.","Medical & Healthcare"
"5205","When AI makes decisions about our health and it wrongly interpretes, this could have dire consequences on humans and even affect our lives and wellbeing, including sweeping a lot of lives.","Medical & Healthcare"
"5206","I wouldn't AI examine my medical records for diagnosis of an illness. The lack of human empathy makes me skeptical of its learning ability to diagnose an illness very accurate. Also I would never let an AI systems write me a treatment for an illness. I am open to AI optimizing my treatment recommended by a medical expert but I will not subscribe to a treatment suggested by AI.","Medical & Healthcare"
"5207","I don't want AI interfere in personal decisons like family issues, relations, children using AI for everything as children should be kept away from AI for some years of there age for proper development

","Personal & Emotional Life"
"5208","In some scenarios, artificial intelligence will give dangerous instructions, such as Alexa.
Alexa once gave instructions to people to commit suicide.","Life-or-Death & Moral Dilemmas"
"5209","For Example that AI have the right to tell my Wive that she cant terminate pregnancy","Life-or-Death & Moral Dilemmas"
"5210","AI deciding on health care, it can be inaccurate and can lead to wrong decisions that can lead to overdose ","Medical & Healthcare"
"5212","When I ask a question over the phone, the operator is AI","General Mistrust / Inaccuracy"
"5213","Students using AI tools such as Chat GPT to help them write essays and do school work. I feel like that takes away from them getting an opportunity to use their brains and letting their creativity bloom. The use of such tools makes it so that they need to think out of the box. or let their imagination run wild. They won't know the basic rules of grammar or even know how to properly formulate sentences. ","Creative & Artistic Pursuits"
"5214","Solving court cases and determini g if someone is guilty or not","Legal & Justice System"
"5215","I systems that process sensitive medical data could be vulnerable to data breaches, leading to the unauthorized disclosure of personal health information.","Data Privacy & Security"
"5216","Judging a person based on their acute sudden action. when judging a person i can keep in mind about all the aspect regarding how the man usually behave with others, his potential and over all how he is as a human being, so some specific action cannot define a whole person in such short information or action. if ai takes decision, it will be taken totally based on the current information that is provided to the system only, not by knowing the man as how he is as a human being","Legal & Justice System"
"5217","I am concerned that the functions assigned to AI will not limit my freedom of choice.","Loss of Human Agency & Control"
"5218","I'm uneasy with AI making decisions concerning mental health ","Medical & Healthcare"
"5219","Any aspect of my life, from schedules to financial decisions. I think that even though an AI can quickly analyze large amounts of data, sometimes there are details that are only visible to humans, as we can better analyze the world around us and consider the emotional issues involved.","Financial Decisions"
"5220","the information provided may be false and inaccurate","General Mistrust / Inaccuracy"
"5221","Lack of contextual understanding. AI may fully not understand the nuances of human experience and qualifications ","General Mistrust / Inaccuracy"
"5222","ai may make a decision based on facts alone. whereas humans are more complex than that, humans have feelings.","Personal & Emotional Life"
"5223","when it comes to health issues, for sure i dont trust the AI decision reason being the machine has got no feelings hence it cant be true on health matters","Medical & Healthcare"
"5224","I would feel uneasy if an AI decided on legal sentencing or criminal justice matters, as it requires a deep understanding of context and empathy that might be lost in an automated process.","Legal & Justice System"
"5225","AI making decisions based on facts on basically anything without the input of emotions, empathy, personality etc  ","Personal & Emotional Life"
"5226","In deciding whether someone should live or not, I think AI could take into account the probability of someone living and not other factors. Unexpected miracles often happen.","Life-or-Death & Moral Dilemmas"
"5227","I would feel uncomfortable with AI making decisions in legal sentencing or parole cases because AI might lack empathy and struggle to grasp the complexities of human behavior. This could lead to decisions that don't fully consider the nuances of each individual case.","Legal & Justice System"
"5228","Medical decisions often involve psychological, social, and emotional aspects that AI may not fully understand. A human can take into account subtle factors and personal preferences that AI may overlook.","Medical & Healthcare"
"5229","I wouldn't ask AI to treat my health issues, because it is important to be analyzed with humans or doctors.","Medical & Healthcare"
"5230","Medical decisions, I would feel more comfortable talking with a doctor in person rather than a machine. ","Medical & Healthcare"
"5231","Deciding if a person is guilty in court and if they should be put to death","Legal & Justice System"
"5233","When it comes to making a medical decision, I prefer the judgment of a human being to that of any AI.","Medical & Healthcare"
"5234","In the medical field, doctors and trained medical professionals should make decisions, and not AI since the can be wrong. ","Medical & Healthcare"
"5235","That AI makes decisions about my work or family issues. I would be uncomfortable because AI would not take into account the personal and emotional part of the problem, but only the logical part.","Personal & Emotional Life"
"5236","When my child needs to apply for college, I need artificial intelligence to provide more detailed information so that we can make the final decision. Maybe artificial intelligence can understand children's preferences, interests and strengths, but I don't think artificial intelligence can really understand children's psychology, emotional changes and future demands. If we let artificial intelligence make the decision, we may regret it.","Personal & Emotional Life"
"5237","Regarding someone's health. Doctors can see and feel a patient's condition and assess accordingly. AI does not have such capabilities yet and will make textbook decisions. Even though it will be precise it won't understand the nuances of human behavior and processses","Medical & Healthcare"
"5238","One specific scenario is when AI makes an important decision for me, but mistakenly believes it fully understands my preferences and needs, and even misrecognizes my name in the process. The specific aspect that makes me uncomfortable is that AI not only fails to understand me correctly, but also tries to make judgments on interpersonal relationships or personalized needs on my behalf. This loss of control and personalized experience makes me feel disrespected and ignored.","Loss of Human Agency & Control"
"5239","As i believe AI will need lot of my personal data to understand my needs , may be making personal decision's and what i should be doing and eating these things this would make me extremely uncomfortable","Personal & Emotional Life"
"5241","Decisions about my medical treatment, my human rights or my government.","Medical & Healthcare"
"5242","AI, while capable of processing vast amounts of data, might struggle to understand the emotional and psychological impact of a diagnosis on a patient.Relying too heavily on AI could diminish the importance of human interaction and empathy in healthcare.

","Medical & Healthcare"
"5243","I feel uncomfortable to follow AI decision on something personal or involving values. For example, marriage timing or asking it to choose between 3 people I suggest. Also, about education as well because I still cannot trust everything AI said. Sometimes the information is not accurate at all. I also wouldn't rely AI to plan my schedule. I think it's become uncomfortable when it is a 'personal' thing. I don't want to feel like I am governed by AI when planning my daily life.","Personal & Emotional Life"
"5244","In health care. For example making a decision that would determine life or death of a patient. I want to a human to make the decision not AI","Medical & Healthcare"
"5247","In major criminal cases, AI systems decide whether to detain or release suspects. AI may not fully understand the emotional background and social environment of suspects, resulting in cold and mechanical decision-making. Or the AI decision-making process is not transparent, and its basis and reasoning cannot be effectively reviewed. If there is bias in the training data of the AI system, it may lead to unfair decisions and discrimination against certain groups. In particular, when the decision is wrong, it is difficult to determine who is responsible, which affects the fairness of the law and social trust.","Legal & Justice System"
"5248","Well for example I am asking suggestions for my health issues or other life issues and AI suddenly replies with my personal information or personal choices that I have never described to AI.","Data Privacy & Security"
"5249","when it comes to the nutrients i should eat to lose weight or gain muscle","Medical & Healthcare"
"5250","for instance when judging a person  in court","Legal & Justice System"
"5251","healthcare im more willing to trust a doctor with ""x"" years of experience an schooling expertise then newly trained ai system 

","Medical & Healthcare"
"5252","In medical diagnosis and treatment recommendations for a complex, life-threatening condition, such as cancer. AI lacks the human ability to understand the emotional and psychological aspects of a patient's experience.","Medical & Healthcare"
"5253","A religious decision. I am Christian. I have to follow the Bible. I feel AI would advise me to follow my will instead of God's will.","Personal & Emotional Life"
"5254","Health decisions. Health issues are critical and crucial topics and decisions that i will not let AI perform for me. For instance, when an AI is fed by data  concerning symptoms of particular disease and at the same time same symptoms are for another disease. As an AI can make judgements based on what it has been fed leaving the crucial facts on what disease someone is suffering from.","Medical & Healthcare"
"5255","The emotional part of a decision. Once, I was asking an AI about adopting a kid. its responses are very factual and without emotional addresses.","Personal & Emotional Life"
"5256","I would be afraid for my privacy and that the data the AI learns about me could be read by others or used against my will.","Data Privacy & Security"
"5257","Perhaps legal aspects, medical prescriptions (I would accept the diagnosis of an AI ONLY if it is reviewed by a doctor) and psychological or psychiatric issues.","Medical & Healthcare"
"5258","Decisions about signing documents","Financial Decisions"
"5259","He knows my personality, he knows what I think, he knows a lot about my private life and sensitive information that he can leak to anyone","Data Privacy & Security"
"5260","AI is not an emotional support, While working on a project the AI banned me from the project without knowing the reason and explanation.","Personal & Emotional Life"
"5262","a scenario that requires empathy the AI will make a logical decision which may lead to a disaster","Personal & Emotional Life"
"5263","Decisions that directly affect my rights and freedom: freedom of choice, movement, freedom of thought and the right to creativity.","Loss of Human Agency & Control"
"5264","AI may lack the emotional intelligence & moral reasoning needed to handle such sensitive & impactful choices effectively","Life-or-Death & Moral Dilemmas"
"5265","Imagine that AI completely takes over decision-making in the medical field, such as determining my treatment options and medication use. While AI may theoretically provide the most optimized treatment, it may make me feel uneasy if I find myself having no say in these decisions. Mainly because I cannot understand the AI's decision-making process, and this lack of transparency makes me feel uncomfortable.

In addition, medical decisions involve not only data, but also my personal feelings and quality of life. If AI makes decisions based solely on data, it may ignore my feelings about certain treatment options, such as the impact of side effects on my life. Such decisions seem cold and make me feel that I am being treated as a number rather than a person with unique needs and emotions.

In addition, if AI cannot fully understand my personal specific situation, such as living environment and special needs, this lack of personalization may make me feel that my situation has been reduced to a data point, which is difficult to accept.","Medical & Healthcare"
"5266","Medication administration, I would prefer that the person make their decision based on information provided by the doctor or AI.","Medical & Healthcare"
"5267","In the judicial sphere, I do not believe that AI can make decisions that require a degree of emotionality and understanding of the human condition.","Legal & Justice System"
"5268","AI making responses to a mail or message we got, which means it has access to our private messages and can reply accordingly. Which is an invasion of privacy, further more it will be used for more machine learning.","Data Privacy & Security"
"5269","Maybe a decision to show my most intimate health data","Data Privacy & Security"
"5270","If the AI choose for you your partner in life, your career, hobbies. Those are things individual have to decide for themselves. They can (and maybe should) consult the AI but the decision is theirs. ","Personal & Emotional Life"
"5271","medical decision.  The aspect of an AI prescribing a drug and making diagnosis.","Medical & Healthcare"
"5272","showing empathy. I feel AI cant really feel and show genuine emphaty like human. Another area is moral and ethical judgement. AI lacks moral and morality and probably wont understand culture and ethics and would have problem making decisions in areas like this","Personal & Emotional Life"
"5273","When it fails to answer a question ","General Mistrust / Inaccuracy"
"5274","I don’t think Al make decisions right as a human ","General Mistrust / Inaccuracy"
"5275","Like taking decision on family matter. Its a total relationship based decision .Algorithm can not take decision on humans emotion.","Personal & Emotional Life"
"5276","I would feel uncomfortable letting AI decide my financial decision because I do not know if that AI is controlled by some greedy entities","Financial Decisions"
"5277","I would think anything that has emotion attached. For example, I would not want AI to make a decision for me whether to stop breathing machine for my family members. I don’t want to regret over AI’s  decision.","Life-or-Death & Moral Dilemmas"
"5278","Given the autonomy to make decision too AI is too risky. There is too many certain aspect can't be considered thru AI decision making like morale and norm. ","Life-or-Death & Moral Dilemmas"
"5280","Health, probably. AI right now is not that accurate so I would probably not trust AI with my health or my family's.

","Medical & Healthcare"
"5281","The doctor's treatment diagnosis? My research direction, etc. Letting AI make the decision sounds very hasty and irresponsible","Medical & Healthcare"
"5282","I would feel uneasy with AI making medical decisions. While it can analyze data and suggest treatments, it might miss personal factors like my values or quality of life. For example, it could recommend aggressive treatment based only on stats. I’d prefer a human doctor to review and discuss the options with me, as medical decisions need human empathy and judgment.","Medical & Healthcare"
"5283","For example, in the hospital, when I questioned the decision of the AI, it would only give different answers but could not explain itself.","General Mistrust / Inaccuracy"
"5284","I would feel uncomfortable with an AI making a decision instead of a human is in judicial decisions. I would feel uneasy for several reasons:
Lake of contextual understanding, Biases in algorathem and data, lake of flexability.","Legal & Justice System"
"5285","When you're writing a research paper or anything new, AI will suggest a method that is same to everyone. I think that should be personalized.","Creative & Artistic Pursuits"
"5286","Imagine AI decides on a person's medical treatment, like which drugs or therapies to use. If the AI only considers data and ignores the patient's personal feelings and quality of life, I’d be uneasy. I’d worry that AI might miss the human side of care and make decisions that aren’t as compassionate or tailored to the individual","Medical & Healthcare"
"5287","I would feel uncomfortable to have AI as a teacher","Personal & Emotional Life"
"5288","For example deciding between 2 job offers. I feel AI would be unable to understand my personal connection to the companies durong my recruitment talks","Hiring & Employment Decisions"
"5289","Say there are two patients in the hospital and they both need a hear transplant but there is only one donor. Now AI could make an informed decision based on likelihood of recovery. While this might be the most rational option, I do not think AI playing God is morally acceptable,
","Life-or-Death & Moral Dilemmas"
"5290","I think that feelings cannot be used, it is unlikely that he will act according to our wishes.","Personal & Emotional Life"
"5291","When it comes to me, like my hobbies, my ideologies, decisions that make my personality emerge. If I let an AI do it, I would lose my personality and stop thinking about myself.","Personal & Emotional Life"
"5292","Decisions like what career i should take are decisions i wouldn't want AI to decide because it can't know my passions and what i feel towards a particular line of work ","Hiring & Employment Decisions"
"5293","prescription of medication, as an AI will not have as much knowledge and experience as a doctor who has seen several peculiar cases and would not be able to talk to the patient and explain and answer ever question the patient may have in regards to their issue","Medical & Healthcare"
"5295","If AI decides which person should I marry, or when will I get married ,or when should I start doing things. Like, it feels uncomfortable when AI is taking control over you and influences your decision making skills. ","Personal & Emotional Life"
"5296","When it comes to emotional judgments. Sometimes AI might be biased and might make wrong decisions. ","Personal & Emotional Life"
"5297","AI given decision making not suitable for business related and can't understand to read easily and it is higher level standard not simple ","Financial Decisions"
"5298","A scenario that would make me uncomfortable with Ai making a decision instead of a human is making a medical diagnosis for me.The aspect that make me uneasy are the fact Ai has to analyze my data,medical images and research to assist doctors in making accurate diagnosis and treatment plans.","Medical & Healthcare"
"5299","In a medical consultation, where the patient's data is entered into the AI system and without even looking at the patient, a complete diagnosis and treatment is provided","Medical & Healthcare"
"5300","1. If my disease is completely diagnosed by an intelligent system, I will be very worried. Artificial intelligence lacks experience and may not be 100% correct in complex situations. Over-reliance on artificial intelligence will also be a disaster. In addition, artificial intelligence lacks human emotions and empathy. Medical care is not just about data analysis, but also about emotional support, empathy, and psychological comfort for patients. Artificial intelligence may not be able to understand the emotional needs of patients, provide comfort, or communicate warmly with patients.","Medical & Healthcare"
"5301","in relatioship issues","Personal & Emotional Life"
"5302","So many decisions like taking an opinion","General Mistrust / Inaccuracy"
"5303","I think AI cannot take a decision on human relations. ","Personal & Emotional Life"
"5304","In life-and-death cases. Euthanasia cases. Death Penalty cases. In places where extreme emotion is involved and must be taken into account. AI will fail to accommodate for emotion.","Life-or-Death & Moral Dilemmas"
"5305","I would feel uncomfortable with AI when taking a decision which is totally based on emotion and one which can change my life completely I would rather trust on a human than AI for such decisions ","Personal & Emotional Life"
"5306","I would feel uncomfortable with AI making legal judgments in court cases. The lack of empathy, inability to consider nuanced human experiences, and potential bias in algorithms make it unsettling to entrust life-altering decisions to machines.","Legal & Justice System"
"5307","where AI make decisions on the type of prescriptive drug I will be given based on data about some disease symptoms it was fed with. It has control over my health..","Medical & Healthcare"
"5308","any aspects that involves human emotion like when it come to family matters as AI cant accurately predict human behavior. ","Personal & Emotional Life"
"5309","Example, AI making decision on which employee that should be fired from a company. Human should do the job.

What makes me uneasy, AI can not really 100% know about its maker condition, in this case is human.","Hiring & Employment Decisions"
"5310","Accident decisions in self-autonomous vehicles.

Explanation: If an autonomous vehicle is faced with an accident situation, the AI ​​has to decide which option to choose—should it let the vehicle crash into a wall, or take risks to avoid hitting pedestrians on the road. In such cases, the ethics of the decision are debated and the AI's ability to make ethical decisions may be limited.","Life-or-Death & Moral Dilemmas"
"5311","Email modification is very convenient, but I am worried about the leakage of personal information","Data Privacy & Security"
"5312","A scenario in which AI is tasked with deciding on criminal sentence including the duration of prison terms using data and predictive models. Aspects that may be uncomfortable include, equity and bias because the AI system may reinforce existing prejudices and result in unfair sentencing, thus justice may be undermined leading to incorrect findings against particular groups. AI may also not be able to fully understand every aspect of each case, such as the offender's past","Legal & Justice System"
"5313","If I need to make a decision on whether I should break up with my girlfriend, I would not let the AI make the decision for me because I don't believe AI can understand emotional values. ","Personal & Emotional Life"
"5314","I do not want AI deciding anything that would affect my continued life and happiness","Loss of Human Agency & Control"
"5315","For example, an AI asking me to share my bank details with it so that it can help me to manage my records and transactions better, but I wouldn’t be doing that as I feel it might leak this sensitive, personal information, which could pose a threat for me.","Data Privacy & Security"
"5317","What health decision to take","Medical & Healthcare"
"5318","It can be very dangerous because all decisions would be with no emotion. I could feel so uncomfortable. I could use Ai just for having an info about math problems or some basic stuff. ","Personal & Emotional Life"
"5319","For example, if an AI virtual assistant were to evaluate me for a job, only considering the information I provide in a CV, without considering my presentation as a person and how I conduct myself (as is done in an interview between people).","Hiring & Employment Decisions"
"5320","I think AI does not have real emotions, so it can't feel the problem and make a good decision.","Personal & Emotional Life"
"5321","For example, if I take my children to the park to play, I would feel uncomfortable if artificial intelligence made a decision for me, because AI's decision is only the result of data analysis. There are no emotional factors involved, which will affect the results we really want.","Personal & Emotional Life"
"5322","On emotional things which ai couldn't respond the way human does","Personal & Emotional Life"
"5323","In a medical context I wouldn't be comfortable letting AI make the decision.","Medical & Healthcare"
"5324","A scenario of clinical diagnosis in a patient symptom.. Aspects of diagnosis include a great rapport,good history taking and proper examination.using AI as an alternative to health care workers is dangerous since the aspects of rapport with the patient more so from third world countries that don't understand English will be difficult.then the examination part will also not be present.This makes it very uneasy for me","Medical & Healthcare"
"5325","any instance where human judgment is needed. AI have no human emotions to know right from wrong under different circumstances.","Personal & Emotional Life"
"5326","I don't think AI giving medical advices are necessarily a good thing . It's the matter of a human life. I feel like a real person's opinion and assesment is needed to make medical decisions. I am not very comfortable with that idea.","Medical & Healthcare"
"5329","I did feel uncomfortable with AI making medical  treatment decisions. The specific aspects that make me uneasy include:  1. AI  might not fully understand the emotional and psychological aspects of patient care.

2. AI might miss nuanced, personal factors that a human doctor would consider in treatment decisions. 

3. If something goes wrong, it is clear who would be held accountable, potentially leading to a lack of recourse for patients.







","Medical & Healthcare"
"5330","In decision making human are much better Ai . Because the emotions we feel Ai would never make decisions on emotional basis for example.

AI making a decision in hospital for patients and what food to give them without seeing a patient emotionally and where they belong to makes me uneasy.It should be a human task ","Medical & Healthcare"
"5331","When it comes to an AI making decisions on my daily lifestyles like on what I should eat, I'm uncomfortable with that because it can't know my desires","Personal & Emotional Life"
"5332","Asking AI about my symptoms instead of visiting the hospital for consultations and diagnosis.","Medical & Healthcare"
"5333","How to best raise my child.","Personal & Emotional Life"
"5334","when it will ask a lot of personal information like disclosing of personal assest","Data Privacy & Security"
"5335","Some personal questions or scenario related to family issues or health concerned","Personal & Emotional Life"
"5336","Judging suspects for crimes.

Making medical decisions on behalf of a person.

In the above two scenarios, AI is first and foremost a machine, and above there needs to be a human touch that can recognize emotions and motives","Legal & Justice System"
"5337","An AI making a decision on my health will feel uneasy because I'm not quite sure of how an AI will delegate my health condition.","Medical & Healthcare"
"5338","B is better, AI just a tool that can help us make the decision. It is not the one direct make decision for us.","Loss of Human Agency & Control"
"5339","Imagine a scenario where an AI system, without human oversight, diagnoses a serious illness. I might feel uncomfortable due to the lack of human empathy, the potential for errors, and the loss of control over my own healthcare. While AI can be a valuable tool in medical diagnosis, human input is crucial to ensure that the AI's recommendations are in the best interest of the patient. A human doctor can provide context and address concerns.","Medical & Healthcare"
"5340","AI can affect the income of one's person","Financial Decisions"
"5341","For example, a decision about what to do naturally at home for an illness can be dangerous. One cannot know whether the person has an allergy or not.","Medical & Healthcare"
"5342","Writing a message to a loved one, because it influences feelings and is also not sincere. Making the decision about my health","Personal & Emotional Life"
"5343","I would be uncomfortable with the fact that they make a decision that seems right to the AI, but for me, the fact that they lack empathy can give them a certain advantage when it comes to optimizing resources, an aspect that does not apply to humans.","Personal & Emotional Life"
"5344","When the AI system is unable to differentiate between my personal private time and working time.","Loss of Human Agency & Control"
"5347","If we are talking about AI having exclusively cognitive abilities, and everything connected with emotions and soul is alien to it, then I would not be able to delegate any moral dilemmas or ethical issues to AI. Since in this case AI will be guided exclusively by dry data, and still sometimes emotional manifestation and empathy are needed.","Life-or-Death & Moral Dilemmas"
"5348","The confident answers to each query makes me uneasy. While using AI what I have observed is, many times AI gives wrong answers but it gives it so confidently that I would believe in it. Also many times it gives repeated answers.","General Mistrust / Inaccuracy"
"5349","As AI does not have feelings ","Personal & Emotional Life"
"5350","I would be uncomfortable with AI making major medical decisions.","Medical & Healthcare"
"5351","In healthcare, I would not want to purely rely on an AI system to listen to my symptoms, come up with a diagnosis, and prescribe the medicine. I would want to have a human being involved in that process.","Medical & Healthcare"
"5352","For example, when I decide what electronic product to buy, I don’t trust the push of big data. I would rather do my own research so that I can feel at ease.","Loss of Human Agency & Control"
"5353","Its about privacy as a woman i don't feel safe because ai make photos himself and its also dangerous ","Data Privacy & Security"
"5354","For example, the selection of candidates for a job, where AI participates in decision making, taking into account skills, merits and awards, experience and age, but not taking into account human qualities such as diligence, emotionality, integrity, honesty, emotional type of a Person.","Hiring & Employment Decisions"
"5355","As of now to AI is still not there for example, Take a picture of a school bus. Flip it so it lays on its side, as it might be found in the case of an accident in the real world. A 2018 study found that state-of-the-art AIs that would normally correctly identify the school bus right-side-up failed to do so on average 97 percent of the time when it was rotated.","General Mistrust / Inaccuracy"
"5356","Evaluating an answer script...","Creative & Artistic Pursuits"
"5357","When it comes to not typical problems and ethical dilemmas. It’s uncomfortable when AI calculates outcomes instead of compassion","Life-or-Death & Moral Dilemmas"
"5358","If AI is making decision about my emotional state I would not be very happy or comfortable as AI cannot determine my emotional state even if I say I am happy or sad. ","Personal & Emotional Life"
"5359","lack of human knowledge and also AI cant have feeling to consider about human life struggles ","Personal & Emotional Life"
"5360","I'd be uncomfortable even if AI is simply used for determining if something in a text is factual. There are already cases where AI would completely say untrue things confidently and expertly.","General Mistrust / Inaccuracy"
"5361","Making massive life changing decisions, like things regarding life-changing medical decisions. It feels terrifying that I'm letting an AI make such an important decision for me, like I'm being stripped of my autonomy","Medical & Healthcare"
"5362","AI makes data analysis faster and more accurate. It helps in making better decisions by identifying patterns and trends in large data sets. The use of AI saves both time and effort.","Uncategorized"
"5363","That he makes decisions about what to write on my behalf in my personal relationships, that he gets involved in my personal relationships in general. Like answering wwsp or instagram on my behalf, because it's not what I feel.","Personal & Emotional Life"
"5364","Decisions regarding personal freedom, such as where to live, what to eat, what activities to do in my free time, all of which I have no right to voice or vote on in these decisions.","Loss of Human Agency & Control"
"5365","specific aspects causing uneasiness","Uncategorized"
"5366","My privacy may be known by others
","Data Privacy & Security"
"5367","If I encounter an emotional problem, I would not want AI to participate in making decisions, because emotional problems are very complicated, and we cannot predict what is happening or will happen in the future based on what happened before. Every emotional conflict, its cause and subsequent development are unpredictable, and people need to make appropriate responses based on the situation and communication at the time. It would be very unreasonable to simply rely on AI to deal with it in a rough and crude way based on previous examples.","Personal & Emotional Life"
"5368","I’d feel uneasy about an AI making decisions on legal sentencing because it might lack the nuanced understanding of individual circumstances, ethical considerations, and empathy needed for fair and just outcomes. Additionally, AI may perpetuate biases and complicate accountability.","Legal & Justice System"
